,Predictor,Category,Data-coding,Source,Field ID,Transformation1,AOU Question,Unnamed: 6,AOU Answers,Question Concept ID,Answer ID,TERTILES,TERTILE_Answer,TIME TAKEN ,Transformation2,Notes
19,Age.asthma.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3786,Tertiles,About how old were you when you were first told you had asthma?,,Elderly (75+),43530546,1384894,,,,1,0.28%
20,Age.at.bilateral.oophorectomy..both.ovaries.removed....Instance.0_Lower.third,,,Questionnaire/Interview at recruitment ,3882,Tertiles,,,,,,,,,,
21,Age.at.bilateral.oophorectomy..both.ovaries.removed....Instance.0_Middle.third,,,Questionnaire/Interview at recruitment ,3882,Tertiles,,,,,,,,,,
22,Age.at.bilateral.oophorectomy..both.ovaries.removed....Instance.0_Upper.third,,,Questionnaire/Interview at recruitment ,3882,Tertiles,,,,,,,,,,
23,Age.at.first.live.birth...Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2754,Tertiles,,,,,,,,,,
24,Age.at.first.live.birth...Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2754,Tertiles,,,,,,,,,,
25,Age.at.first.live.birth...Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2754,Tertiles,,,,,,,,,,
26,Age.at.hysterectomy...Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2824,Tertiles,,,,,,,,,,
27,Age.at.hysterectomy...Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2824,Tertiles,,,,,,,,,,
28,Age.at.hysterectomy...Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2824,Tertiles,,,,,,,,,,
29,Age.at.last.live.birth...Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2764,Tertiles,,,,,,,,,,
30,Age.at.last.live.birth...Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2764,Tertiles,,,,,,,,,,
31,Age.at.last.live.birth...Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2764,Tertiles,,,,,,,,,,
32,Age.at.menopause..last.menstrual.period....Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3581,Tertiles,,,,,,,,,,
33,Age.at.menopause..last.menstrual.period....Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3581,Tertiles,,,,,,,,,,
34,Age.at.menopause..last.menstrual.period....Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3581,Tertiles,,,,,,,,,,
35,Age.cataract.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4700,Tertiles,,,Child (0-11),43530493,1385507,,,,1,
36,Age.cataract.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4700,Tertiles,,,Adolescent (12-17),43530493,1384889,,,,1,
37,Age.cataract.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4700,Tertiles,,,Adult (18-64),43530494,1385430,,,,1,
38,Age.cataract.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4700,Tertiles,,,Older adult (65-74),43530494,1384910,,,,1,
39,Age.cataract.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4700,Tertiles,,,Elderly (75+),43530494,1384854,,,,1,
40,Age.completed.full.time.education...Instance.0_Lower.third,Sociodemographics,,Questionnaire/Interview at recruitment ,845,Tertiles,,,,,,,,,,
41,Age.completed.full.time.education...Instance.0_Middle.third,Sociodemographics,,Questionnaire/Interview at recruitment ,845,Tertiles,,,,,,,,,,
42,Age.completed.full.time.education...Instance.0_Upper.third,Sociodemographics,,Questionnaire/Interview at recruitment ,845,Tertiles,,,,,,,,,,
43,Age.completed.full.time.education...Instance.0_neg2,Sociodemographics,,,,,,,,,,,,,,
44,Age.deep.vein.thrombosis..DVT..blood.clot.in.leg..diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4012,Tertiles,,,,,,,,,,
45,Age.deep.vein.thrombosis..DVT..blood.clot.in.leg..diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4012,Tertiles,,,,,,,,,,
46,Age.deep.vein.thrombosis..DVT..blood.clot.in.leg..diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4012,Tertiles,,,,,,,,,,
47,Age.diabetes.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,2976,Tertiles,About how old were you when you were first told you had type 1 diabetes? - Child (0-11),,,43530491,1385228,,,,1,
48,Age.diabetes.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,2976,Tertiles,About how old were you when you were first told you had type 1 diabetes? - Adolescent (12-17),,,43530491,1385561,,,,1,
49,Age.diabetes.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,2976,Tertiles,About how old were you when you were first told you had type 1 diabetes? - Adult (18-64),,,43530491,1385534,,,,1,
50,Age.diabetes.diagnosed...Instance.0_Upper.third,Health and medical history,,,2976,Tertiles,About how old were you when you were first told you had type 1 diabetes? - Older adult (65-74),,,43530491,1385633,,,,1,
51,Age.diabetes.diagnosed...Instance.0_Upper.third,Health and medical history,,,2976,Tertiles,About how old were you when you were first told you had type 1 diabetes? - Elderly (75+),,,43530491,1384905,,,,1,
52,Age.emphysema.chronic.bronchitis.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3992,Tertiles,"About how old were you when you were first told you had chronic lung disease (COPD, emphysema, or bronchitis)? (1384393)",,Child (0-11),1384393,1385363,,,,1,6.47%
53,Age.emphysema.chronic.bronchitis.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3992,Tertiles,"About how old were you when you were first told you had chronic lung disease (COPD, emphysema, or bronchitis)? (1384393)",,Adolescent (12-17),1384393,1385414,,,,1,5.80%
54,Age.emphysema.chronic.bronchitis.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3992,Tertiles,"About how old were you when you were first told you had chronic lung disease (COPD, emphysema, or bronchitis)? (1384393)",,Adult (18-64),1384393,1384961,,,,1,70.98%
55,Age.emphysema.chronic.bronchitis.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3992,Tertiles,"About how old were you when you were first told you had chronic lung disease (COPD, emphysema, or bronchitis)? (1384393)",,Older adult (65-74),1384393,1385516,,,,1,13.93%
56,Age.emphysema.chronic.bronchitis.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3992,Tertiles,"About how old were you when you were first told you had chronic lung disease (COPD, emphysema, or bronchitis)? (1384393)",, Elderly (75+),1384393,1385242,,,,1,2.32%
57,Age.first.had.sexual.intercourse...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2139,Tertiles,,,,,,,,,,
58,Age.first.had.sexual.intercourse...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2139,Tertiles,,,,,,,,,,
59,Age.first.had.sexual.intercourse...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2139,Tertiles,,,,,,,,,,
60,Age.first.had.sexual.intercourse...Instance.0_neg2,Lifestyle and environment,-2 : Never had sex,Questionnaire/Interview at recruitment ,2139,One-Hot-Encoding ,,,,,,,,,,
61,Age.glaucoma.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4689,Tertiles,,,About how old were you when you were first told you had glaucoma? - Child (0-11),43530497,1385572,,,,1,
62,Age.glaucoma.diagnosed...Instance.0_Lower.third,Health and medical history,,,4689,Tertiles,,,About how old were you when you were first told you had glaucoma? - Adolescent (12-17),43530497,1385275,,,,1,
63,Age.glaucoma.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4689,Tertiles,,,About how old were you when you were first told you had glaucoma? - Adult (18-64),43530497,1384685,,,,1,
64,Age.glaucoma.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4689,Tertiles,,,About how old were you when you were first told you had glaucoma? - Older adult (65-74),43530497,1385567,,,,1,
65,Age.glaucoma.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4689,Tertiles,,,About how old were you when you were first told you had glaucoma? - Elderly (75+),43530497,1385223,,,,1,
66,Age.hay.fever..rhinitis.or.eczema.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3761,Tertiles,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",,Child (0-11),43530385,1385287,,,,1,21.89%
67,Age.hay.fever..rhinitis.or.eczema.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3761,Tertiles,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",,Adolescent (12-17),43530385,1384953,,,,1,16.91%
68,Age.hay.fever..rhinitis.or.eczema.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3761,Tertiles,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",,Adult (18-64),43530385,1385543,,,,1,54.92%
69,Age.hay.fever..rhinitis.or.eczema.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3761,Tertiles,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",,Older adult (65-74),43530385,1385359,,,,1,5.20%
70,Age.hay.fever..rhinitis.or.eczema.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3761,Tertiles,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",,Elderly (75+),43530385,1385114,,,,1,0.78%
71,Age.heart.attack.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3894,Tertiles,,,Child (0-11),43530465,1384923,,,,1,
72,Age.heart.attack.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3894,Tertiles,,,Adolescent (12-17),43530465,1385142,,,,1,
73,Age.heart.attack.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3894,Tertiles,,,Adult (18-64),43530465,1384985,,,,1,
74,Age.heart.attack.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3894,Tertiles,,,Older adult (65-74),43530465,1385321,,,,1,
75,Age.heart.attack.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3894,Tertiles,,,Elderly (75+),43530465,1385425,,,,1,
76,Age.high.blood.pressure.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,2966,Tertiles,,,Child (0-11),43530468,1384930,,,,1,0.30%
77,Age.high.blood.pressure.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,2966,Tertiles,,, Adolescent (12-17),43530468,1384711,,,,1,2.05%
78,Age.high.blood.pressure.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,2966,Tertiles,,, Adult (18-64),43530468,1384898,,,,1,86.62%
79,Age.high.blood.pressure.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,2966,Tertiles,,,Older adult (65-74),43530468,1385638,,,,1,9.74%
80,Age.high.blood.pressure.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,2966,Tertiles,,,Elderly (75+),43530468,1385047,,,,1,0.90%
81,Age.last.used.hormone.replacement.therapy..HRT....Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3546,Tertiles,,,,,,,,,,
82,Age.last.used.hormone.replacement.therapy..HRT....Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3546,Tertiles,,,,,,,,,,
83,Age.last.used.hormone.replacement.therapy..HRT....Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3546,Tertiles,,,,,,,,,,
84,Age.last.used.hormone.replacement.therapy..HRT....Instance.0_neg11,Sex-specific factors,-11 : Still taking HRT,Questionnaire/Interview at recruitment ,3546,One-Hot-Encoding ,,,,,,,,,,
85,Age.macular.degeneration.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Child (0-11),43530499,1385254,,,,1,
86,Age.macular.degeneration.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Adolescent (12-17),43530499,1385517,,,,1,
87,Age.macular.degeneration.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Adolescent (12-17),43530499,1385517,,,,1,
88,Age.macular.degeneration.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Adult (18-64),43530499,1385422,,,,1,
89,Age.macular.degeneration.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Older adult (65-74),43530499,1385639,,,,1,
90,Age.macular.degeneration.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5923,Tertiles,,,Elderly (75+),43530499,1385389,,,,1,
91,Age.of.primiparous.women.at.birth.of.child...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3872,Tertiles,,,,,,,,,,
92,Age.of.primiparous.women.at.birth.of.child...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3872,Tertiles,,,,,,,,,,
93,Age.of.primiparous.women.at.birth.of.child...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3872,Tertiles,,,,,,,,,,
94,Age.other.serious.eye.condition.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5945,Tertiles,,,,,,,,,,
95,Age.other.serious.eye.condition.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,5945,Tertiles,,,,,,,,,,
96,Age.other.serious.eye.condition.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5945,Tertiles,,,,,,,,,,
97,Age.pulmonary.embolism..blood.clot.in.lung..diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4022,Tertiles,,,,,,,,,,
98,Age.pulmonary.embolism..blood.clot.in.lung..diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4022,Tertiles,,,,,,,,,,
99,Age.pulmonary.embolism..blood.clot.in.lung..diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4022,Tertiles,,,,,,,,,,
100,Age.started.hormone.replacement.therapy..HRT....Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3536,Tertiles,,,,,,,,,,
101,Age.started.hormone.replacement.therapy..HRT....Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3536,Tertiles,,,,,,,,,,
102,Age.started.hormone.replacement.therapy..HRT....Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,3536,Tertiles,,,,,,,,,,
103,Age.started.oral.contraceptive.pill...Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2794,Tertiles,,,,,,,,,,
104,Age.started.oral.contraceptive.pill...Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2794,Tertiles,,,,,,,,,,
105,Age.started.oral.contraceptive.pill...Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2794,Tertiles,,,,,,,,,,
106,Age.started.smoking.in.current.smokers...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,3436,Tertiles,,,,,,,,,,
107,Age.started.smoking.in.current.smokers...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,3436,Tertiles,,,,,,,,,,
108,Age.started.smoking.in.current.smokers...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,3436,Tertiles,,,,,,,,,,
109,Age.started.smoking.in.former.smokers...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2867,Tertiles,How old were you when you first started regular cigarette smoking?,,Integer,1585864,,<15,Lowest1585864,,1,
110,Age.started.smoking.in.former.smokers...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2867,Tertiles,,,,1585864,,15-18,Middle1585864,,1,
111,Age.started.smoking.in.former.smokers...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2867,Tertiles,,,,1585864,,>19,Highest1585864,,1,
112,Age.started.wearing.glasses.or.contact.lenses...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,2217,Tertiles,,,,,,,,,,
113,Age.started.wearing.glasses.or.contact.lenses...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,2217,Tertiles,,,,,,,,,,
114,Age.started.wearing.glasses.or.contact.lenses...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,2217,Tertiles,,,,,,,,,,
115,Age.stopped.smoking...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2897,Tertiles,"On average, how many cigarettes do you smoke per day now?",,Integer,1585870,,<28,Lowest1585870,,1,
116,Age.stopped.smoking...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2897,Tertiles,,,,1585870,,28-40,Middle1585870,,1,
117,Age.stopped.smoking...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,2897,Tertiles,,,,1585870,,>41,Highest1585870,,1,
118,Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Lower.third,Lifestyle and environment,,,,,,,,,,,,,,
119,Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,6194,Tertiles,,,,,,,,,,
120,Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,6194,Tertiles,,,,,,,,,,
121,Age.stroke.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,4056,Tertiles,,,Child (0-11),43530471,1385172,,,,1,1.43%
122,Age.stroke.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4056,Tertiles,,,Adolescent (12-17),43530471,1385187,,,,1,1.08%
123,Age.stroke.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,4056,Tertiles,,, Adult (18-64),43530471,1385436,,,,1,73.84%
124,Age.stroke.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4056,Tertiles,,,adult (65-74),43530471,1385239,,,,1,18.28%
125,Age.stroke.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,4056,Tertiles,,,Elderly (75+),43530471,1385132,,,,1,5.02%
126,Age.when.diabetes.related.eye.disease.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5901,Tertiles,,,,,,,,,,
127,Age.when.diabetes.related.eye.disease.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5901,Tertiles,,,,,,,,,,
128,Age.when.diabetes.related.eye.disease.diagnosed...Instance.0_Middle.third,Health and medical history,,,,,,,,,,,,,,
129,Age.when.diabetes.related.eye.disease.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5901,Tertiles,,,,,,,,,,
130,Age.when.diabetes.related.eye.disease.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5901,Tertiles,,,,,,,,,,
131,Age.when.last.ate.meat...Instance.0,Lifestyle and environment,,Questionnaire/Interview at recruitment ,3680,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
132,Age.when.last.used.oral.contraceptive.pill...Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2804,Tertiles,,,,,,,,,,
133,Age.when.last.used.oral.contraceptive.pill...Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2804,Tertiles,,,,,,,,,,
134,Age.when.last.used.oral.contraceptive.pill...Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2804,Tertiles,,,,,,,,,,
135,Age.when.loss.of.vision.due.to.injury.or.trauma.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5430,Tertiles,,, Child (0-11),43530493,1385378,,,,1,
136,Age.when.loss.of.vision.due.to.injury.or.trauma.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,5430,Tertiles,,,(12-17),43530493,1385104,,,,1,
137,Age.when.loss.of.vision.due.to.injury.or.trauma.diagnosed...Instance.0_Middle.third,Health and medical history,,,5430,Tertiles,,,Adult (18-64),43530493,1385621,,,,1,
138,Age.when.loss.of.vision.due.to.injury.or.trauma.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,5430,Tertiles,,,(65-74),43530493,1385030,,,,1,
139,Age.when.loss.of.vision.due.to.injury.or.trauma.diagnosed...Instance.0_Upper.third,Health and medical history,,,5430,Tertiles,,,Elderly (75+),43530493,1384798,,,,1,
140,Age.when.periods.started..menarche....Instance.0_Lower.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2714,Tertiles,,,,,,,,,,
141,Age.when.periods.started..menarche....Instance.0_Middle.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2714,Tertiles,,,,,,,,,,
142,Age.when.periods.started..menarche....Instance.0_Upper.third,Sex-specific factors,,Questionnaire/Interview at recruitment ,2714,Tertiles,,,,,,,,,,
143,Alcohol.drinker.status...Instance.0_0,Lifestyle and environment,0 : Never,Questionnaire/Interview at recruitment ,20117,One-Hot-Encoding ,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (By a “drink,” we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it.",,Alcohol Participant: No,1586198,1586200,,,,1,
144,Alcohol.drinker.status...Instance.0_1,Lifestyle and environment,1 : Previous,Questionnaire/Interview at recruitment ,20117,One-Hot-Encoding ,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (By a “drink,” we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it.",,Alcohol Participant: Yes,1586198,1586199,,,,1,
145,Alcohol.drinker.status...Instance.0_2,Lifestyle and environment,2 : Current,Questionnaire/Interview at recruitment ,20117,One-Hot-Encoding ,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (By a “drink,” we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it.",,Alcohol Participant: Yes,1586198,1586199,,,,1,
146,Alcohol.intake.frequency....Instance.0_1,Lifestyle and environment,1 :Daily or almost daily,Questionnaire/Interview at recruitment ,1558,One-Hot-Encoding ,How often did you have a drink containing alcohol in the past year?,,Drink Frequency Past Year: 4 or More Per Week,1586201,1586206,,,,1,
147,Alcohol.intake.frequency....Instance.0_2,Lifestyle and environment,2 :Three or four times a week,Questionnaire/Interview at recruitment ,1558,One-Hot-Encoding ,How often did you have a drink containing alcohol in the past year?,,Drink Frequency Past Year: 2 to 3 Per Week,1586201,1586205,,,,1,
148,Alcohol.intake.frequency....Instance.0_3,Lifestyle and environment,3 :Once or twice a week,Questionnaire/Interview at recruitment ,1558,One-Hot-Encoding ,How often did you have a drink containing alcohol in the past year?,,Drink Frequency Past Year: 2 to 4 Per Month,1586201,1586204,,,,1,
149,Alcohol.intake.frequency....Instance.0_4,Lifestyle and environment,4 :One to three times a month,Questionnaire/Interview at recruitment ,1558,One-Hot-Encoding ,How often did you have a drink containing alcohol in the past year?,,Drink Frequency Past Year: 2 to 4 Per Month,1586201,1586204,,,,1,
